626,
114,H-Bb L-Bb S-Bb
101,H-Bb H-Mj L-Bb L-Mj
98,H-Bb H-Mj L-Bb
77,H-Bb H-Mj L-Bb S-Bb
75,L-Bb
74,H-Bb H-Mj
70,H-Bb L-Bb
62,H-Bb H-Mj L-Bb L-Mn
59,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn
55,H-Bb
55,H-Bb H-Mj L-Bb L-Mn S-Bb
52,H-Bb L-Bb L-Mj S-Bb S-Mj
44,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
40,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Bb
36,H-Bb H-Mj L-Bb L-Mj S-Bb
34,H-Bb L-Bb L-Mj
33,H-Bb H-Mj L-Bb L-Mj L-Mn S-Bb
32,H-Bb L-Bb L-Mj L-Mn S-Bb
32,H-Bb H-Mj L-Bb L-Mj L-Mn
28,L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
28,L-Bb L-Mj L-Mn
27,L-Bb S-Bb
24,H-Bb H-Mj H-Mn L-Bb
22,H-Bb L-Bb L-Mj L-Mn S-Bb S-Mj
22,H-Bb L-Bb L-Mn S-Bb
22,L-Bb L-Mj
21,H-Bb L-Bb L-Mn
21,H-Bb H-Mj L-Bb L-Mj S-Bb S-Mj
21,L-Bb L-Mj L-Mn S-Bb S-Mj
19,H-Bb L-Bb S-Bb S-Mn
18,H-Bb H-Mj H-Mn L-Bb L-Mn
16,H-Bb L-Bb L-Mj L-Mn
16,L-Bb L-Mj S-Bb S-Mj
15,H-Bb H-Mj H-Mn L-Bb L-Mj
13,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj
12,H-Bb L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
11,H-Bb H-Mj L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
11,H-Bb H-Mj L-Bb S-Bb S-Mj
10,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb
10,H-Bb H-Mj H-Mn L-Bb S-Bb
9,H-Bb H-Mj L-Bb L-Mj L-Mn S-Bb S-Mn
9,H-Bb L-Bb L-Mj L-Mn S-Bb S-Mn
9,H-Bb H-Mn L-Bb
9,L-Bb L-Mn S-Bb S-Mj S-Mn
9,H-Bb H-Mn L-Bb L-Mj L-Mn S-Bb
9,H-Bb L-Bb S-Bb S-Mj
9,L-Bb L-Mj S-Bb
9,L-Bb L-Mj L-Mn S-Bb
8,H-Bb H-Mj S-Bb
8,H-Bb H-Mj H-Mn
8,L-Bb L-Mn S-Bb
8,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb S-Mj S-Mn
8,H-Bb S-Bb S-Mj
7,H-Bb H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj
7,H-Bb H-Mn L-Bb L-Mj L-Mn
7,H-Bb H-Mn L-Bb L-Mj
7,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Bb S-Mn
7,H-Bb L-Bb L-Mj S-Bb
7,H-Bb L-Bb L-Mn S-Bb S-Mn
6,H-Bb H-Mn L-Bb L-Mj S-Bb S-Mj
6,H-Bb H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
6,L-Bb S-Bb S-Mj
6,H-Bb S-Bb
6,L-Bb L-Mn S-Bb S-Mn
6,H-Bb H-Mj L-Bb L-Mn S-Bb S-Mn
5,H-Bb L-Bb L-Mj S-Mj
5,H-Bb H-Mn L-Bb L-Mn
5,H-Bb H-Mj L-Bb L-Mj L-Mn S-Bb S-Mj
5,L-Bb S-Bb S-Mj S-Mn
5,L-Bb L-Mj L-Mn S-Bb S-Mn
5,L-Mj
5,L-Bb L-Mn
5,H-Bb H-Mj H-Mn L-Bb L-Mn S-Bb
4,H-Bb H-Mn L-Bb S-Bb
4,H-Bb L-Bb S-Bb S-Mj S-Mn
4,S-Bb
4,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Mj
4,L-Mj L-Mn S-Bb S-Mj S-Mn
4,H-Mj H-Mn
4,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Mj S-Mn
4,H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
4,H-Bb H-Mj H-Mn L-Mj L-Mn S-Bb S-Mj S-Mn
4,H-Mj H-Mn L-Bb L-Mj L-Mn
3,H-Bb H-Mn L-Bb L-Mn S-Bb S-Mj S-Mn
3,H-Bb H-Mj L-Mj
3,S-Bb S-Mj
3,H-Bb H-Mj L-Bb S-Bb S-Mj S-Mn
3,L-Bb S-Bb S-Mn
3,H-Mj
3,H-Bb H-Mj H-Mn S-Bb
3,L-Mj L-Mn
3,H-Bb H-Mn L-Bb L-Mn S-Bb
3,H-Bb H-Mn L-Bb L-Mj S-Bb
3,S-Mj S-Mn
2,H-Bb L-Bb L-Mn S-Bb S-Mj S-Mn
2,H-Bb H-Mn S-Bb
2,H-Bb H-Mj L-Bb L-Mj L-Mn S-Mj S-Mn
2,H-Bb H-Mj L-Bb L-Mj L-Mn S-Mj
2,H-Bb H-Mj H-Mn L-Mj
2,H-Mj H-Mn L-Bb
2,L-Bb L-Mj S-Mj
2,H-Bb H-Mj L-Bb S-Mj
2,H-Bb L-Mj L-Mn S-Bb
2,L-Bb L-Mj L-Mn S-Mj
2,H-Mj L-Bb L-Mj L-Mn
2,H-Bb H-Mj L-Bb L-Mj S-Bb S-Mn
2,H-Bb L-Mn
2,H-Bb L-Mj
2,H-Bb S-Mj
2,H-Mj L-Bb L-Mj S-Bb S-Mj
2,S-Bb S-Mj S-Mn
2,L-Mn
2,H-Mj L-Bb L-Mj S-Bb
2,H-Bb H-Mj H-Mn L-Mj L-Mn
2,H-Bb H-Mn L-Bb L-Mn S-Bb S-Mn
2,L-Bb L-Mj L-Mn S-Mj S-Mn
2,H-Bb H-Mn
2,H-Mj L-Bb S-Bb
2,S-Mj
2,H-Bb L-Bb L-Mj S-Bb S-Mj S-Mn
1,L-Mj S-Mj S-Mn
1,H-Bb H-Mj L-Bb L-Mn S-Bb S-Mj S-Mn
1,H-Bb L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Mn
1,L-Bb L-Mn S-Mn
1,L-Bb L-Mj S-Bb S-Mj S-Mn
1,H-Bb H-Mj L-Bb S-Bb S-Mn
1,H-Mj H-Mn L-Mj S-Mj
1,H-Mj H-Mn L-Bb L-Mn
1,H-Bb H-Mj L-Mj L-Mn
1,H-Bb H-Mn L-Bb L-Mj L-Mn S-Mn
1,L-Mj S-Bb S-Mj S-Mn
1,H-Mj L-Mj
1,H-Mj L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mn S-Bb S-Mj
1,H-Mj L-Mj L-Mn
1,H-Bb H-Mj L-Mj S-Bb
1,H-Bb H-Mj H-Mn L-Bb L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mj H-Mn L-Mj S-Bb S-Mj S-Mn
1,H-Mn L-Bb L-Mj S-Bb S-Mj
1,H-Bb H-Mj H-Mn L-Mj L-Mn S-Mj S-Mn
1,H-Bb H-Mj L-Mj S-Bb S-Mj
1,H-Mj L-Bb L-Mj
1,H-Mj L-Bb
1,H-Bb H-Mj H-Mn L-Bb S-Bb S-Mj S-Mn
1,S-Bb S-Mn
1,H-Mn L-Mn
1,H-Bb H-Mj H-Mn S-Mj S-Mn
1,H-Bb S-Bb S-Mj S-Mn
1,H-Bb H-Mj L-Mn S-Bb
1,H-Bb H-Mj H-Mn L-Mn
1,H-Mn L-Bb
1,H-Mj L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mj S-Mj
1,H-Mn
1,L-Mj L-Mn S-Mn
1,L-Bb L-Mj L-Mn S-Mn
1,H-Mj H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mn L-Bb S-Bb S-Mj S-Mn
1,H-Bb L-Bb S-Mj S-Mn
1,H-Bb H-Mj H-Mn L-Mj L-Mn S-Mj
1,H-Bb L-Mj S-Bb
1,H-Bb H-Mj H-Mn L-Mj L-Mn S-Bb S-Mj
1,H-Bb H-Mj H-Mn L-Mj S-Bb
1,H-Bb H-Mn L-Bb L-Mj L-Mn S-Bb S-Mn
1,H-Mj H-Mn L-Mj
1,H-Bb L-Bb L-Mn S-Bb S-Mj
1,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb S-Mn
1,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb S-Mj
1,H-Bb H-Mn L-Mj
1,L-Bb S-Mj S-Mn
1,H-Bb H-Mj H-Mn S-Mn
